File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,3,EL-SIE-2+,UM_WG,24de6b085df773dd,600,2,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold
1,Temperature,High Alarm,70.00,,0,0
1,Temperature,Low Alarm,,64.00,0,0

Reading,Date / Time (UTC),Channel 1 (°F),Channel 2 (%RH),Channel 3 (°F),
1116,2022/06/18 09:55:36,69.34,46.4,47.89,
1117,2022/06/18 10:05:36,69.26,46.6,47.94,
1118,2022/06/18 10:15:36,69.16,46.8,47.96,
1119,2022/06/18 10:25:36,69.26,46.9,48.12,
1120,2022/06/18 10:35:36,69.29,46.9,48.15,
1121,2022/06/18 10:45:36,69.52,47.0,48.40,
1122,2022/06/18 10:55:36,69.69,46.9,48.51,
1123,2022/06/18 11:05:36,69.84,46.9,48.64,
1124,2022/06/18 11:15:36,69.97,46.9,48.76,
1125,2022/06/18 11:25:36,70.03,46.8,48.76,
1126,2022/06/18 11:35:36,70.05,46.7,48.72,
1127,2022/06/18 11:45:36,70.08,46.7,48.76,
1128,2022/06/18 11:55:36,70.10,46.6,48.71,
1129,2022/06/18 12:05:36,70.03,46.6,48.65,
1130,2022/06/18 12:15:36,70.00,46.5,48.56,
1131,2022/06/18 12:25:36,70.05,46.5,48.61,
1132,2022/06/18 12:35:36,70.08,46.5,48.64,
1133,2022/06/18 12:45:36,70.05,46.5,48.61,
1134,2022/06/18 12:55:36,70.10,46.4,48.60,
1135,2022/06/18 13:05:36,70.05,46.4,48.55,
1136,2022/06/18 13:15:36,70.10,46.4,48.60,
1137,2022/06/18 13:25:36,70.10,46.4,48.60,
1138,2022/06/18 13:35:36,70.18,46.4,48.67,
1139,2022/06/18 13:45:36,70.20,46.4,48.68,
1140,2022/06/18 13:55:36,70.30,46.4,48.78,
1141,2022/06/18 14:05:36,70.35,46.4,48.83,
1142,2022/06/18 14:15:36,70.53,46.3,48.94,
1143,2022/06/18 14:25:36,70.66,46.1,48.93,
1144,2022/06/18 14:35:36,70.76,46.1,49.02,
1145,2022/06/18 14:45:36,70.73,46.0,48.94,
1146,2022/06/18 14:55:36,70.78,45.9,48.92,
1147,2022/06/18 15:05:36,70.81,45.9,48.95,
1148,2022/06/18 15:15:36,70.87,45.8,48.94,
1149,2022/06/18 15:25:36,70.94,45.7,48.95,
1150,2022/06/18 15:35:36,70.94,45.6,48.89,
1151,2022/06/18 15:45:36,70.99,45.5,48.88,
1152,2022/06/18 15:55:36,70.99,45.5,48.88,
1153,2022/06/18 16:05:36,70.94,45.4,48.77,
1154,2022/06/18 16:15:36,70.97,45.3,48.75,
1155,2022/06/18 16:25:36,70.97,45.2,48.69,
1156,2022/06/18 16:35:36,70.97,45.1,48.63,
1157,2022/06/18 16:45:36,70.89,45.1,48.56,
1158,2022/06/18 16:55:36,70.84,45.1,48.51,
1159,2022/06/18 17:05:36,70.84,45.0,48.45,
1160,2022/06/18 17:15:36,70.73,45.0,48.35,
1161,2022/06/18 17:25:36,70.73,45.0,48.35,
1162,2022/06/18 17:35:36,70.76,45.0,48.37,
1163,2022/06/18 17:45:36,70.87,45.0,48.47,
1164,2022/06/18 17:55:36,71.04,44.8,48.51,
1165,2022/06/18 18:05:36,71.17,44.7,48.57,
1166,2022/06/18 18:15:36,71.17,44.6,48.51,
1167,2022/06/18 18:25:36,71.35,44.5,48.61,
1168,2022/06/18 18:35:36,71.32,44.5,48.58,
1169,2022/06/18 18:45:36,71.37,44.4,48.57,
1170,2022/06/18 18:55:36,71.37,44.4,48.57,
1171,2022/06/18 19:05:36,71.37,44.3,48.51,
1172,2022/06/18 19:15:36,71.25,44.3,48.41,
1173,2022/06/18 19:25:36,71.04,44.4,48.27,
1174,2022/06/18 19:35:36,70.81,44.4,48.06,
1175,2022/06/18 19:45:36,70.63,44.5,47.96,
1176,2022/06/18 19:55:36,70.43,44.6,47.84,
1177,2022/06/18 20:05:36,70.30,44.7,47.78,
1178,2022/06/18 20:15:36,70.15,44.8,47.70,
1179,2022/06/18 20:25:36,70.10,44.8,47.66,
1180,2022/06/18 20:35:36,70.03,44.8,47.60,
1181,2022/06/18 20:45:36,70.03,44.9,47.66,
1182,2022/06/18 20:55:36,70.10,44.9,47.72,
1183,2022/06/18 21:05:36,70.25,44.8,47.80,
1184,2022/06/18 21:15:36,70.38,44.7,47.85,
1185,2022/06/18 21:25:36,70.56,44.7,48.01,
1186,2022/06/18 21:35:36,70.68,44.6,48.07,
1187,2022/06/18 21:45:36,70.76,44.5,48.07,
1188,2022/06/18 21:55:36,70.81,44.4,48.06,
1189,2022/06/18 22:05:36,70.94,44.3,48.12,
1190,2022/06/18 22:15:36,70.97,44.3,48.15,
1191,2022/06/18 22:25:36,70.97,44.2,48.09,
1192,2022/06/18 22:35:36,70.99,44.1,48.04,
1193,2022/06/18 22:45:36,70.97,44.1,48.03,
1194,2022/06/18 22:55:36,70.71,44.1,47.80,
1195,2022/06/18 23:05:36,70.46,44.2,47.63,
1196,2022/06/18 23:15:36,70.28,44.3,47.53,
1197,2022/06/18 23:25:36,70.15,44.3,47.40,
1198,2022/06/18 23:35:36,70.00,44.4,47.33,
1199,2022/06/18 23:45:36,69.90,44.5,47.31,
1200,2022/06/18 23:55:36,70.00,44.5,47.39,
1201,2022/06/19 00:05:36,70.13,44.5,47.50,
1202,2022/06/19 00:15:36,70.30,44.4,47.60,
1203,2022/06/19 00:25:36,70.43,44.3,47.66,
1204,2022/06/19 00:35:36,70.58,44.2,47.73,
1205,2022/06/19 00:45:36,70.66,44.1,47.75,
1206,2022/06/19 00:55:36,70.76,44.0,47.77,
1207,2022/06/19 01:05:36,70.76,44.0,47.77,
1208,2022/06/19 01:15:36,70.84,43.9,47.79,
1209,2022/06/19 01:25:36,70.76,43.9,47.71,
1210,2022/06/19 01:35:36,70.81,44.0,47.82,
1211,2022/06/19 01:45:36,70.76,43.9,47.71,
1212,2022/06/19 01:55:36,70.78,43.9,47.73,
1213,2022/06/19 02:05:36,70.73,43.9,47.69,
1214,2022/06/19 02:15:36,70.73,43.9,47.69,
1215,2022/06/19 02:25:36,70.73,43.9,47.69,
1216,2022/06/19 02:35:36,70.71,43.9,47.68,
1217,2022/06/19 02:45:36,70.66,43.9,47.63,
1218,2022/06/19 02:55:36,70.66,43.9,47.63,
1219,2022/06/19 03:05:36,70.63,43.9,47.60,
1220,2022/06/19 03:15:36,70.61,43.8,47.52,
1221,2022/06/19 03:25:36,70.53,43.8,47.45,
1222,2022/06/19 03:35:36,70.53,43.8,47.45,
1223,2022/06/19 03:45:36,70.53,43.8,47.45,
1224,2022/06/19 03:55:36,70.53,43.8,47.45,
1225,2022/06/19 04:05:36,70.56,43.8,47.47,
1226,2022/06/19 04:15:36,70.51,43.8,47.42,
1227,2022/06/19 04:25:36,70.51,43.8,47.42,
1228,2022/06/19 04:35:36,70.48,43.7,47.34,
1229,2022/06/19 04:45:36,70.48,43.7,47.34,
1230,2022/06/19 04:55:36,70.43,43.7,47.30,
1231,2022/06/19 05:05:36,70.40,43.7,47.26,
1232,2022/06/19 05:15:36,70.38,43.7,47.25,
1233,2022/06/19 05:25:36,70.46,43.7,47.33,
1234,2022/06/19 05:35:36,70.43,43.6,47.24,
1235,2022/06/19 05:45:36,70.48,43.6,47.28,
1236,2022/06/19 05:55:36,70.48,43.7,47.34,
1237,2022/06/19 06:05:36,70.56,43.6,47.35,
1238,2022/06/19 06:15:36,70.61,43.7,47.46,
1239,2022/06/19 06:25:36,70.61,43.6,47.40,
1240,2022/06/19 06:35:36,70.58,43.6,47.36,
1241,2022/06/19 06:45:36,70.63,43.6,47.41,
1242,2022/06/19 06:55:36,70.68,43.7,47.52,
1243,2022/06/19 07:05:36,70.71,43.7,47.56,
1244,2022/06/19 07:15:36,70.73,43.6,47.51,
1245,2022/06/19 07:25:36,70.58,43.7,47.43,
1246,2022/06/19 07:35:36,70.38,43.8,47.31,
1247,2022/06/19 07:45:36,70.18,44.0,47.25,
1248,2022/06/19 07:55:36,69.95,44.0,47.04,
1249,2022/06/19 08:05:36,69.82,44.2,47.04,
1250,2022/06/19 08:15:36,69.74,44.2,46.98,
1251,2022/06/19 08:25:36,69.64,44.4,47.00,
1252,2022/06/19 08:35:36,69.62,44.5,47.04,
1253,2022/06/19 08:45:36,69.74,44.5,47.16,
1254,2022/06/19 08:55:36,69.87,44.5,47.27,
1255,2022/06/19 09:05:36,70.03,44.5,47.42,
1256,2022/06/19 09:15:36,70.13,44.5,47.50,
1257,2022/06/19 09:25:36,70.30,44.5,47.67,
1258,2022/06/19 09:35:36,70.33,44.5,47.68,
1259,2022/06/19 09:45:36,70.40,44.6,47.81,
1260,2022/06/19 09:55:36,70.40,44.8,47.92,
1261,2022/06/19 10:05:36,70.43,44.9,48.02,
1262,2022/06/19 10:15:36,70.28,44.9,47.89,
1263,2022/06/19 10:25:36,70.08,45.1,47.83,
1264,2022/06/19 10:35:36,69.84,45.3,47.71,
1265,2022/06/19 10:45:36,69.59,45.4,47.54,
1266,2022/06/19 10:55:36,69.39,45.7,47.54,
1267,2022/06/19 11:05:36,69.39,45.8,47.60,
1268,2022/06/19 11:15:36,69.46,45.9,47.72,
1269,2022/06/19 11:25:36,69.62,45.9,47.87,
1270,2022/06/19 11:35:36,69.74,45.9,47.98,
1271,2022/06/19 11:45:36,69.84,45.9,48.06,
1272,2022/06/19 11:55:36,70.00,46.0,48.27,
1273,2022/06/19 12:05:36,70.05,46.0,48.32,
1274,2022/06/19 12:15:36,70.08,46.0,48.35,
1275,2022/06/19 12:25:36,70.13,46.1,48.44,
1276,2022/06/19 12:35:36,70.15,46.1,48.46,
1277,2022/06/19 12:45:36,70.13,46.1,48.44,
1278,2022/06/19 12:55:36,70.18,46.1,48.49,
1279,2022/06/19 13:05:36,70.20,46.2,48.57,
1280,2022/06/19 13:15:36,70.13,46.1,48.44,
1281,2022/06/19 13:25:36,70.18,46.1,48.49,
1282,2022/06/19 13:35:36,70.15,46.1,48.46,
1283,2022/06/19 13:45:36,70.18,46.1,48.49,
1284,2022/06/19 13:55:36,70.20,46.1,48.51,
1285,2022/06/19 14:05:36,70.20,46.2,48.57,
1286,2022/06/19 14:15:36,70.28,46.1,48.59,
1287,2022/06/19 14:25:36,70.38,46.2,48.73,
1288,2022/06/19 14:35:36,70.51,46.2,48.85,
1289,2022/06/19 14:45:36,70.66,46.1,48.93,
1290,2022/06/19 14:55:36,70.84,46.1,49.10,
1291,2022/06/19 15:05:36,70.84,46.1,49.10,
1292,2022/06/19 15:15:36,70.68,46.0,48.89,
1293,2022/06/19 15:25:36,70.56,46.1,48.84,
1294,2022/06/19 15:35:36,70.51,46.1,48.79,
1295,2022/06/19 15:45:36,70.43,46.2,48.78,
1296,2022/06/19 15:55:36,70.43,46.2,48.78,
1297,2022/06/19 16:05:36,70.40,46.3,48.80,
1298,2022/06/19 16:15:36,70.35,46.3,48.77,
1299,2022/06/19 16:25:36,70.30,46.5,48.84,
1300,2022/06/19 16:35:36,70.23,46.5,48.77,
1301,2022/06/19 16:45:36,70.23,46.5,48.77,
1302,2022/06/19 16:55:36,70.35,46.5,48.89,
1303,2022/06/19 17:05:36,70.53,46.5,49.05,
1304,2022/06/19 17:15:36,70.73,46.3,49.12,
1305,2022/06/19 17:25:36,70.87,46.1,49.12,
1306,2022/06/19 17:35:36,71.02,46.0,49.20,
1307,2022/06/19 17:45:36,71.07,45.9,49.20,
1308,2022/06/19 17:55:36,71.09,45.8,49.15,
1309,2022/06/19 18:05:36,71.15,45.7,49.14,
1310,2022/06/19 18:15:36,71.15,45.7,49.14,
1311,2022/06/19 18:25:36,70.94,45.7,48.95,
1312,2022/06/19 18:35:36,70.68,45.7,48.72,
1313,2022/06/19 18:45:36,70.43,45.8,48.55,
1314,2022/06/19 18:55:36,70.25,45.9,48.44,
1315,2022/06/19 19:05:36,70.15,45.9,48.34,
1316,2022/06/19 19:15:36,70.08,45.9,48.29,
1317,2022/06/19 19:25:36,69.92,46.0,48.21,
1318,2022/06/19 19:35:36,69.84,46.0,48.12,
1319,2022/06/19 19:45:36,69.82,46.0,48.11,
1320,2022/06/19 19:55:36,69.87,46.0,48.16,
1321,2022/06/19 20:05:36,70.08,45.9,48.29,
1322,2022/06/19 20:15:36,70.25,45.8,48.38,
1323,2022/06/19 20:25:36,70.46,45.7,48.52,
1324,2022/06/19 20:35:36,70.61,45.6,48.59,
1325,2022/06/19 20:45:36,70.71,45.5,48.63,
1326,2022/06/19 20:55:36,70.81,45.4,48.66,
1327,2022/06/19 21:05:36,70.89,45.3,48.68,
1328,2022/06/19 21:15:36,70.73,45.3,48.53,
1329,2022/06/19 21:25:36,70.56,45.4,48.43,
1330,2022/06/19 21:35:36,70.35,45.5,48.31,
1331,2022/06/19 21:45:36,70.20,45.6,48.22,
1332,2022/06/19 21:55:36,70.05,45.6,48.09,
1333,2022/06/19 22:05:36,69.97,45.7,48.06,
1334,2022/06/19 22:15:36,69.87,45.8,48.04,
1335,2022/06/19 22:25:36,69.90,45.9,48.13,
1336,2022/06/19 22:35:36,69.82,45.9,48.05,
1337,2022/06/19 22:45:36,69.77,45.9,48.00,
1338,2022/06/19 22:55:36,69.74,46.0,48.04,
1339,2022/06/19 23:05:36,69.82,46.0,48.11,
1340,2022/06/19 23:15:36,70.03,45.9,48.25,
1341,2022/06/19 23:25:36,70.23,45.8,48.37,
1342,2022/06/19 23:35:36,70.40,45.6,48.40,
1343,2022/06/19 23:45:36,70.43,45.6,48.43,
1344,2022/06/19 23:55:36,70.48,45.5,48.42,
1345,2022/06/20 00:05:36,70.48,45.4,48.36,
1346,2022/06/20 00:15:36,70.56,45.4,48.43,
1347,2022/06/20 00:25:36,70.63,45.3,48.43,
1348,2022/06/20 00:35:36,70.66,45.2,48.41,
1349,2022/06/20 00:45:36,70.68,45.2,48.42,
1350,2022/06/20 00:55:36,70.66,45.1,48.35,
1351,2022/06/20 01:05:36,70.66,45.0,48.29,
1352,2022/06/20 01:15:36,70.63,45.0,48.26,
1353,2022/06/20 01:25:36,70.68,45.0,48.31,
1354,2022/06/20 01:35:36,70.71,45.0,48.34,
1355,2022/06/20 01:45:36,70.63,45.1,48.32,
1356,2022/06/20 01:55:36,70.35,45.1,48.07,
1357,2022/06/20 02:05:36,70.13,45.2,47.92,
1358,2022/06/20 02:15:36,69.90,45.3,47.78,
1359,2022/06/20 02:25:36,69.69,45.5,47.70,
1360,2022/06/20 02:35:36,69.69,45.6,47.76,
1361,2022/06/20 02:45:36,69.82,45.6,47.87,
1362,2022/06/20 02:55:36,69.90,45.4,47.84,
1363,2022/06/20 03:05:36,70.13,45.4,48.03,
1364,2022/06/20 03:15:36,70.23,45.2,48.01,
1365,2022/06/20 03:25:36,70.28,45.2,48.06,
1366,2022/06/20 03:35:36,70.40,45.1,48.10,
1367,2022/06/20 03:45:36,70.51,45.2,48.26,
1368,2022/06/20 03:55:36,70.46,45.1,48.17,
1369,2022/06/20 04:05:36,70.28,45.2,48.06,
1370,2022/06/20 04:15:36,70.15,45.5,48.11,
1371,2022/06/20 04:25:36,70.00,45.7,48.10,
1372,2022/06/20 04:35:36,69.90,45.9,48.13,
1373,2022/06/20 04:45:36,69.87,46.1,48.21,
1374,2022/06/20 04:55:36,69.74,46.2,48.16,
1375,2022/06/20 05:05:36,69.67,46.2,48.09,
1376,2022/06/20 05:15:36,69.72,46.4,48.26,
1377,2022/06/20 05:25:36,69.64,46.5,48.23,
1378,2022/06/20 05:35:36,69.59,46.7,48.30,
1379,2022/06/20 05:45:36,69.59,46.7,48.30,
1380,2022/06/20 05:55:36,69.59,46.8,48.35,
1381,2022/06/20 06:05:36,69.54,46.9,48.38,
1382,2022/06/20 06:15:36,69.54,47.0,48.43,
1383,2022/06/20 06:25:36,69.54,47.2,48.55,
1384,2022/06/20 06:35:36,69.52,47.2,48.52,
1385,2022/06/20 06:45:36,69.54,47.3,48.60,
1386,2022/06/20 06:55:36,69.52,47.4,48.63,
1387,2022/06/20 07:05:36,69.49,47.5,48.67,
1388,2022/06/20 07:15:36,69.52,47.6,48.74,
1389,2022/06/20 07:25:36,69.49,47.6,48.72,
1390,2022/06/20 07:35:36,69.49,47.8,48.84,
1391,2022/06/20 07:45:36,69.49,47.8,48.84,
1392,2022/06/20 07:55:36,69.54,47.9,48.94,
1393,2022/06/20 08:05:36,69.52,48.0,48.97,
1394,2022/06/20 08:15:36,69.54,48.1,49.05,
1395,2022/06/20 08:25:36,69.44,48.1,48.95,
1396,2022/06/20 08:35:36,69.49,48.2,49.06,
1397,2022/06/20 08:45:36,69.41,48.3,49.03,
1398,2022/06/20 08:55:36,69.41,48.3,49.03,
1399,2022/06/20 09:05:36,69.39,48.4,49.07,
1400,2022/06/20 09:15:36,69.39,48.4,49.07,
1401,2022/06/20 09:25:36,69.39,48.5,49.13,
1402,2022/06/20 09:35:36,69.39,48.5,49.13,
1403,2022/06/20 09:45:36,69.39,48.6,49.18,
1404,2022/06/20 09:55:36,69.34,48.7,49.19,
1405,2022/06/20 10:05:36,69.34,48.7,49.19,
1406,2022/06/20 10:15:36,69.31,48.9,49.28,
1407,2022/06/20 10:25:36,69.26,48.9,49.23,
1408,2022/06/20 10:35:36,69.26,48.9,49.23,
1409,2022/06/20 10:45:36,69.21,48.9,49.18,
1410,2022/06/20 10:55:36,69.39,48.9,49.35,
1411,2022/06/20 11:05:36,69.52,48.8,49.41,
1412,2022/06/20 11:15:36,69.69,48.7,49.52,
1413,2022/06/20 11:25:36,69.82,48.7,49.63,
1414,2022/06/20 11:35:36,69.90,48.6,49.66,
1415,2022/06/20 11:45:36,70.00,48.5,49.69,
1416,2022/06/20 11:55:36,70.05,48.6,49.79,
1417,2022/06/20 12:05:36,70.08,48.5,49.77,
1418,2022/06/20 12:15:36,70.13,48.5,49.80,
1419,2022/06/20 12:25:36,70.15,48.5,49.82,
1420,2022/06/20 12:35:36,70.15,48.5,49.82,
1421,2022/06/20 12:45:36,70.15,48.5,49.82,
1422,2022/06/20 12:55:36,70.20,48.5,49.87,
1423,2022/06/20 13:05:36,70.15,48.5,49.82,
1424,2022/06/20 13:15:36,70.03,48.7,49.83,
1425,2022/06/20 13:25:36,69.79,48.8,49.66,
1426,2022/06/20 13:35:36,69.59,49.0,49.58,
1427,2022/06/20 13:45:36,69.46,49.1,49.52,
1428,2022/06/20 13:55:36,69.41,49.3,49.58,
1429,2022/06/20 14:05:36,69.49,49.5,49.77,
1430,2022/06/20 14:15:36,69.54,49.5,49.82,
1431,2022/06/20 14:25:36,69.64,49.5,49.91,
1432,2022/06/20 14:35:36,69.67,49.5,49.94,
1433,2022/06/20 14:45:36,69.62,49.6,49.94,
1434,2022/06/20 14:55:36,69.69,49.6,50.01,
1435,2022/06/20 15:05:36,69.84,49.6,50.14,
1436,2022/06/20 15:15:36,70.15,49.5,50.37,
1437,2022/06/20 15:25:36,70.40,49.3,50.49,
1438,2022/06/20 15:35:36,70.61,49.1,50.58,
1439,2022/06/20 15:45:36,70.76,49.1,50.71,
1440,2022/06/20 15:55:36,70.84,49.0,50.74,
1441,2022/06/20 16:05:36,70.97,48.9,50.80,
1442,2022/06/20 16:15:36,70.94,48.9,50.77,
1443,2022/06/20 16:25:36,70.91,48.9,50.75,
1444,2022/06/20 16:35:36,70.76,49.0,50.66,
1445,2022/06/20 16:45:36,70.66,49.8,51.01,
1446,2022/06/20 16:55:36,70.48,49.2,50.52,
1447,2022/06/20 17:05:36,70.33,49.2,50.37,
1448,2022/06/20 17:15:36,70.30,49.3,50.41,
1449,2022/06/20 17:25:36,70.43,49.3,50.52,
1450,2022/06/20 17:35:36,70.66,49.7,50.96,
1451,2022/06/20 17:45:36,70.81,49.6,51.03,
1452,2022/06/20 17:55:36,70.94,49.4,51.04,
1453,2022/06/20 18:05:36,70.97,49.3,51.02,
1454,2022/06/20 18:15:36,71.04,49.1,50.98,
1455,2022/06/20 18:25:36,71.04,49.0,50.92,
1456,2022/06/20 18:35:36,71.07,48.8,50.84,
1457,2022/06/20 18:45:36,70.99,48.8,50.76,
1458,2022/06/20 18:55:36,70.73,48.8,50.53,
1459,2022/06/20 19:05:36,70.51,48.9,50.37,
1460,2022/06/20 19:15:36,70.53,49.1,50.51,
1461,2022/06/20 19:25:36,70.51,49.1,50.48,
1462,2022/06/20 19:35:36,70.53,49.1,50.51,
1463,2022/06/20 19:45:36,70.56,49.1,50.53,
1464,2022/06/20 19:55:36,70.58,49.1,50.55,
1465,2022/06/20 20:05:36,70.58,49.2,50.60,
1466,2022/06/20 20:15:36,70.33,49.2,50.37,
1467,2022/06/20 20:25:36,70.23,49.2,50.29,
1468,2022/06/20 20:35:36,70.05,49.3,50.18,
1469,2022/06/20 20:45:36,69.97,49.4,50.15,
1470,2022/06/20 20:55:36,69.87,49.4,50.07,
1471,2022/06/20 21:05:36,69.72,49.4,49.94,
1472,2022/06/20 21:15:36,69.74,49.5,50.01,
1473,2022/06/20 21:25:36,69.69,49.4,49.90,
1474,2022/06/20 21:35:36,69.67,49.5,49.94,
1475,2022/06/20 21:45:36,69.69,49.5,49.96,
1476,2022/06/20 21:55:36,69.90,49.4,50.10,
1477,2022/06/20 22:05:36,70.15,49.2,50.21,
1478,2022/06/20 22:15:36,70.43,48.9,50.30,
1479,2022/06/20 22:25:36,70.63,48.7,50.38,
1480,2022/06/20 22:35:36,70.63,48.6,50.32,
1481,2022/06/20 22:45:36,70.48,48.6,50.19,
1482,2022/06/20 22:55:36,70.23,48.6,49.96,
1483,2022/06/20 23:05:36,70.03,48.8,49.89,
1484,2022/06/20 23:15:36,69.87,48.8,49.74,
1485,2022/06/20 23:25:36,69.74,48.9,49.68,
1486,2022/06/20 23:35:36,69.64,48.9,49.58,
1487,2022/06/20 23:45:36,69.54,48.9,49.50,
1488,2022/06/20 23:55:36,69.59,49.0,49.58,
1489,2022/06/21 00:05:36,69.64,48.9,49.58,
1490,2022/06/21 00:15:36,69.84,48.7,49.65,
1491,2022/06/21 00:25:36,70.08,48.4,49.72,
1492,2022/06/21 00:35:36,70.30,48.2,49.80,
1493,2022/06/21 00:45:36,70.48,48.0,49.85,
1494,2022/06/21 00:55:36,70.53,47.8,49.79,
1495,2022/06/21 01:05:36,70.46,47.8,49.73,
1496,2022/06/21 01:15:36,70.25,47.7,49.47,
1497,2022/06/21 01:25:36,70.08,47.9,49.44,
1498,2022/06/21 01:35:36,69.84,47.9,49.21,
1499,2022/06/21 01:45:36,69.72,48.0,49.16,
1500,2022/06/21 01:55:36,69.62,48.1,49.12,
1501,2022/06/21 02:05:36,69.49,48.1,49.00,
1502,2022/06/21 02:15:36,69.41,48.1,48.92,
1503,2022/06/21 02:25:36,69.49,48.1,49.00,
1504,2022/06/21 02:35:36,69.64,48.1,49.14,
1505,2022/06/21 02:45:36,69.92,47.8,49.23,
1506,2022/06/21 02:55:36,70.13,47.6,49.30,
1507,2022/06/21 03:05:36,70.30,47.4,49.35,
1508,2022/06/21 03:15:36,70.38,47.2,49.31,
1509,2022/06/21 03:25:36,70.25,47.2,49.19,
1510,2022/06/21 03:35:36,70.10,47.3,49.11,
1511,2022/06/21 03:45:36,69.90,47.5,49.05,
1512,2022/06/21 03:55:36,69.82,47.8,49.13,
1513,2022/06/21 04:05:36,69.64,48.1,49.14,
1514,2022/06/21 04:15:36,69.54,48.4,49.22,
1515,2022/06/21 04:25:36,69.46,48.5,49.19,
1516,2022/06/21 04:35:36,69.39,48.7,49.24,
1517,2022/06/21 04:45:36,69.41,48.8,49.31,
1518,2022/06/21 04:55:36,69.31,48.9,49.28,
1519,2022/06/21 05:05:36,69.31,49.1,49.39,
1520,2022/06/21 05:15:36,69.24,49.2,49.38,
1521,2022/06/21 05:25:36,69.24,49.3,49.43,
1522,2022/06/21 05:35:36,69.26,49.4,49.50,
1523,2022/06/21 05:45:36,69.44,49.3,49.61,
1524,2022/06/21 05:55:36,69.77,49.1,49.80,
1525,2022/06/21 06:05:36,70.10,48.9,50.01,
1526,2022/06/21 06:15:36,70.20,48.8,50.04,
1527,2022/06/21 06:25:36,70.08,48.9,49.99,
1528,2022/06/21 06:35:36,69.90,49.2,49.99,
1529,2022/06/21 06:45:36,69.79,49.4,49.98,
1530,2022/06/21 06:55:36,69.69,49.6,50.01,
1531,2022/06/21 07:05:36,69.56,49.8,50.00,
1532,2022/06/21 07:15:36,69.46,49.9,49.96,
1533,2022/06/21 07:25:36,69.41,50.0,49.96,
1534,2022/06/21 07:35:36,69.36,50.2,50.04,
1535,2022/06/21 07:45:36,69.36,50.3,50.09,
1536,2022/06/21 07:55:36,69.36,50.4,50.14,
1537,2022/06/21 08:05:36,69.26,50.5,50.10,
1538,2022/06/21 08:15:36,69.26,50.6,50.15,
1539,2022/06/21 08:25:36,69.36,50.7,50.30,
1540,2022/06/21 08:35:36,69.29,50.8,50.29,
1541,2022/06/21 08:45:36,69.26,50.9,50.31,
1542,2022/06/21 08:55:36,69.24,50.9,50.29,
1543,2022/06/21 09:05:36,69.24,51.1,50.40,
1544,2022/06/21 09:15:36,69.24,51.2,50.45,
1545,2022/06/21 09:25:36,69.36,51.3,50.62,
1546,2022/06/21 09:35:36,69.56,51.2,50.75,
1547,2022/06/21 09:45:36,69.79,51.1,50.90,
1548,2022/06/21 09:55:36,69.92,51.1,51.03,
1549,2022/06/21 10:05:36,70.10,51.0,51.14,
1550,2022/06/21 10:15:36,70.10,51.1,51.20,
1551,2022/06/21 10:25:36,70.00,51.2,51.15,
1552,2022/06/21 10:35:36,69.87,51.4,51.14,
1553,2022/06/21 10:45:36,69.69,51.5,51.02,
1554,2022/06/21 10:55:36,69.59,51.8,51.08,
1555,2022/06/21 11:05:36,69.49,51.9,51.05,
1556,2022/06/21 11:15:36,69.46,52.1,51.12,
1557,2022/06/21 11:25:36,69.39,52.3,51.16,
1558,2022/06/21 11:35:36,69.36,52.4,51.19,
1559,2022/06/21 11:45:36,69.34,52.6,51.26,
1560,2022/06/21 11:55:36,69.31,52.7,51.30,
1561,2022/06/21 12:05:36,69.29,52.9,51.38,
1562,2022/06/21 12:15:36,69.26,53.0,51.40,
1563,2022/06/21 12:25:36,69.24,53.1,51.43,
1564,2022/06/21 12:35:36,69.26,53.2,51.50,
1565,2022/06/21 12:45:36,69.21,53.3,51.50,
1566,2022/06/21 12:55:36,69.21,53.4,51.56,
1567,2022/06/21 13:05:36,69.16,53.5,51.56,
1568,2022/06/21 13:15:36,69.16,53.7,51.66,
1569,2022/06/21 13:25:36,69.14,53.7,51.64,
1570,2022/06/21 13:35:36,69.16,53.8,51.71,
1571,2022/06/21 13:45:36,69.18,54.0,51.84,
1572,2022/06/21 13:55:36,69.21,54.0,51.86,
1573,2022/06/21 14:05:36,69.18,54.0,51.84,
1574,2022/06/21 14:15:36,69.16,54.2,51.91,
1575,2022/06/21 14:25:36,69.14,54.3,51.94,
1576,2022/06/21 14:35:36,69.16,54.4,52.01,
1577,2022/06/21 14:45:36,69.29,54.4,52.14,
1578,2022/06/21 14:55:36,69.69,54.3,52.46,
1579,2022/06/21 15:05:36,70.13,54.1,52.76,
1580,2022/06/21 15:15:36,70.13,54.1,52.76,
1581,2022/06/21 15:25:36,70.00,54.2,52.69,
1582,2022/06/21 15:35:36,69.79,54.3,52.54,
1583,2022/06/21 15:45:36,69.39,54.5,52.28,
1584,2022/06/21 15:55:36,69.24,55.0,52.39,
1585,2022/06/21 16:05:36,69.26,55.0,52.41,
1586,2022/06/21 16:15:36,69.41,55.0,52.54,
1587,2022/06/21 16:25:36,69.62,55.1,52.79,
1588,2022/06/21 16:35:36,70.03,54.9,53.08,
1589,2022/06/21 16:45:36,70.23,54.6,53.11,
