File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,3,EL-SIE-2+,UM_WG,24de6b085df773dd,600,2,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold
1,Temperature,High Alarm,70.00,,0,0
1,Temperature,Low Alarm,,64.00,0,0

Reading,Date / Time (UTC),Channel 1 (°F),Channel 2 (%RH),Channel 3 (°F),
106,2022/06/11 09:35:36,70.58,38.8,44.28,
107,2022/06/11 09:45:36,70.51,38.8,44.22,
108,2022/06/11 09:55:36,70.56,38.7,44.20,
109,2022/06/11 10:05:36,70.53,38.7,44.18,
110,2022/06/11 10:15:36,70.56,38.7,44.20,
111,2022/06/11 10:25:36,70.48,38.6,44.07,
112,2022/06/11 10:35:36,70.46,38.6,44.05,
113,2022/06/11 10:45:36,70.43,38.6,44.02,
114,2022/06/11 10:55:36,70.43,38.5,43.95,
115,2022/06/11 11:05:36,70.40,38.5,43.92,
116,2022/06/11 11:15:36,70.33,38.5,43.86,
117,2022/06/11 11:25:36,70.30,38.5,43.84,
118,2022/06/11 11:35:36,70.25,38.5,43.79,
119,2022/06/11 11:45:36,70.18,38.5,43.73,
120,2022/06/11 11:55:36,70.25,38.5,43.79,
121,2022/06/11 12:05:36,70.30,38.5,43.84,
122,2022/06/11 12:15:36,70.38,38.4,43.84,
123,2022/06/11 12:25:36,70.40,38.3,43.78,
124,2022/06/11 12:35:36,70.43,38.3,43.82,
125,2022/06/11 12:45:36,70.40,38.3,43.78,
126,2022/06/11 12:55:36,70.38,38.3,43.77,
127,2022/06/11 13:05:36,70.35,38.2,43.68,
128,2022/06/11 13:15:36,70.35,38.3,43.75,
129,2022/06/11 13:25:36,70.38,38.3,43.77,
130,2022/06/11 13:35:36,70.38,38.3,43.77,
131,2022/06/11 13:45:36,70.46,38.4,43.92,
132,2022/06/11 13:55:36,70.53,38.3,43.91,
133,2022/06/11 14:05:36,70.56,38.3,43.93,
134,2022/06/11 14:15:36,70.63,38.3,43.99,
135,2022/06/11 14:25:36,70.78,38.2,44.05,
136,2022/06/11 14:35:36,70.94,38.2,44.20,
137,2022/06/11 14:45:36,71.15,38.1,44.32,
138,2022/06/11 14:55:36,71.25,38.0,44.35,
139,2022/06/11 15:05:36,71.39,37.9,44.39,
140,2022/06/11 15:15:36,71.50,37.9,44.49,
141,2022/06/11 15:25:36,71.63,37.8,44.55,
142,2022/06/11 15:35:36,71.70,37.6,44.47,
143,2022/06/11 15:45:36,71.81,37.6,44.57,
144,2022/06/11 15:55:36,71.83,37.4,44.44,
145,2022/06/11 16:05:36,71.91,37.4,44.51,
146,2022/06/11 16:15:36,71.96,37.3,44.48,
147,2022/06/11 16:25:36,71.93,37.2,44.38,
148,2022/06/11 16:35:36,71.91,37.2,44.37,
149,2022/06/11 16:45:36,71.93,37.2,44.38,
150,2022/06/11 16:55:36,71.91,37.1,44.29,
151,2022/06/11 17:05:36,71.91,37.1,44.29,
152,2022/06/11 17:15:36,71.88,37.0,44.21,
153,2022/06/11 17:25:36,71.86,37.0,44.18,
154,2022/06/11 17:35:36,71.88,36.9,44.14,
155,2022/06/11 17:45:36,71.81,36.9,44.07,
156,2022/06/11 17:55:36,71.73,37.0,44.06,
157,2022/06/11 18:05:36,71.70,36.9,43.98,
158,2022/06/11 18:15:36,71.63,36.9,43.91,
159,2022/06/11 18:25:36,71.63,36.9,43.91,
160,2022/06/11 18:35:36,71.55,36.9,43.83,
161,2022/06/11 18:45:36,71.55,36.9,43.83,
162,2022/06/11 18:55:36,71.50,36.8,43.71,
163,2022/06/11 19:05:36,71.42,36.8,43.65,
164,2022/06/11 19:15:36,71.37,36.8,43.60,
165,2022/06/11 19:25:36,71.29,36.9,43.61,
166,2022/06/11 19:35:36,71.32,36.9,43.63,
167,2022/06/11 19:45:36,71.25,36.8,43.51,
168,2022/06/11 19:55:36,71.17,36.8,43.43,
169,2022/06/11 20:05:36,71.19,36.8,43.44,
170,2022/06/11 20:15:36,71.22,36.9,43.55,
171,2022/06/11 20:25:36,71.17,36.8,43.43,
172,2022/06/11 20:35:36,71.12,36.9,43.45,
173,2022/06/11 20:45:36,71.17,36.8,43.43,
174,2022/06/11 20:55:36,71.19,36.8,43.44,
175,2022/06/11 21:05:36,71.17,36.8,43.43,
176,2022/06/11 21:15:36,71.22,36.8,43.48,
177,2022/06/11 21:25:36,71.19,36.8,43.44,
178,2022/06/11 21:35:36,71.17,36.8,43.43,
179,2022/06/11 21:45:36,71.22,36.8,43.48,
180,2022/06/11 21:55:36,71.19,36.8,43.44,
181,2022/06/11 22:05:36,71.22,36.8,43.48,
182,2022/06/11 22:15:36,71.15,36.7,43.34,
183,2022/06/11 22:25:36,71.17,36.8,43.43,
184,2022/06/11 22:35:36,71.19,36.8,43.44,
185,2022/06/11 22:45:36,71.15,36.8,43.41,
186,2022/06/11 22:55:36,71.15,36.8,43.41,
187,2022/06/11 23:05:36,71.17,36.7,43.36,
